"Search for other pickup points by postcode.","Etsi postinumerolle muita noutopisteitä."
"Search,"Hae"
"Reset","Reset"
"Sorry, the request cannot be handled with unknown reason, please try again.","Pahoittelut, pyyntöä ei voida juuri nyt toteuttaa tuntemattomasta syystä, yritä uudelleen."
"Pickup Points","Noutopisteet"
"Not Found!","Ei löydetty!"
"PICKUP POINT","NOUTOPISTE"
"Change","Vaihda"
"This shipping method has no pickup point.","Toimitustavalle ei ole noutopistettä"
"Other","Muut"
"Manage Parcels","Hallinnoi lähetyksiä"
"#","#"
"Code","Koodi"
"Tracking Code (Send)","Seurantakoodi (Lähetä)"
"Tracking Code (Return)","Seurantokoodi (Palauta)"
"Actions","Toiminnot"
"Create","Luo"
"Create the package cards","Luo pakettikortit"
"Download","Lataa"
"Edit","Muokkaa"
"Delete","Poista"
"Are you sure to delete this parcel?","Oletko varma että haluat poistaa tämän lähetyksen?"
"Contents","Sisältö"
"Weight Unit","Painoyksikkö"
"Weight Amount","Paino"
"Monetary Value","Rahallinen arvo"
"Dimensions Unit","Mittasuhteiden yksikkö"
"Width","Leveys"
"Depth","Syvyys"
"Height","Korkeus"
"Toppleable","Kaatuva"
"Yes","Kyllä"
"No","Ei"
"Stackable","Pinottava"
"Fragile","Särkyvä"
"Warehouse","Varasto"
"Creating ... ","Luodaan ... "
"Cancel","Peruuta"
"Save","Tallenna"